,pv,el,ev,dam_price
2024-07-19 17:00:00,0.19319999999999998,0.323193512092427,0.7422360248845677,40.07
2024-07-19 18:00:00,0.0803,0.7380217429378607,0.9999999999999997,90.0
2024-07-19 19:00:00,0.0238,0.864494004967859,0.9472049688942896,183.5
2024-07-19 20:00:00,0.0009,0.38415348299455054,0.7732919253462956,169.95
2024-07-19 21:00:00,0.0,0.38692410522773835,0.5155279502308637,149.91
2024-07-19 22:00:00,0.0,0.33399207591830826,0.34161490668286965,108.5
2024-07-19 23:00:00,0.0,0.22466979138456525,0.2826086953931647,85.07
2024-07-20 00:00:00,0.0,0.19820377661773578,0.19875776394028866,75.1
2024-07-20 01:00:00,0.0,0.18867601134203835,0.28260869550772644,104.91
2024-07-20 02:00:00,0.0,0.1802068866525295,0.13975155287970714,89.91
2024-07-20 03:00:00,0.0,0.1802068866525295,0.08385093168199959,84.94
2024-07-20 04:00:00,0.0123,0.18867601134203835,0.05590062108314578,72.53
2024-07-20 05:00:00,0.0665,0.28847053071219836,0.05590062096858401,94.91
2024-07-20 06:00:00,0.163,0.6240938593790986,0.05279503110571002,104.9
2024-07-20 07:00:00,0.3237,0.23850226519733886,0.08385093179656132,114.91
2024-07-20 08:00:00,0.4844,0.1331306184396298,0.12732919253462957,94.93
2024-07-20 09:00:00,0.6777000000000001,0.1331306184396298,0.14906832294948838,64.91
2024-07-20 10:00:00,0.8452000000000001,0.1236028531639324,0.198757763963201,31.79
2024-07-20 11:00:00,0.835,0.1236028531639324,0.33850931672834633,25.53
2024-07-20 12:00:00,0.7569,0.5951052638023994,0.5714285714285713,-29.9
2024-07-20 13:00:00,0.7864,0.21203625058746955,0.5124223600930415,-15.06
2024-07-20 14:00:00,0.658,0.1236028531639324,0.3105590061294925,-46.54
2024-07-20 15:00:00,0.5353,0.1394824619567614,0.28260869553063883,-20.06
2024-07-20 16:00:00,0.403,0.20300089712807753,0.39751552778892785,-10.03
2024-07-20 17:00:00,0.2374,0.323193512092427,0.7422360248845677,24.92
2024-07-20 18:00:00,0.0851,0.7380217429378607,0.9999999999999997,79.94
2024-07-20 19:00:00,0.023,0.864494004967859,0.9472049688942896,146.61
2024-07-20 20:00:00,0.0009,0.38415348299455054,0.7732919253462956,129.99
2024-07-20 21:00:00,0.0,0.38692410522773835,0.5155279502308637,104.97
2024-07-20 22:00:00,0.0,0.33399207591830826,0.34161490668286965,94.92
2024-07-20 23:00:00,0.0,0.22466979138456525,0.2826086953931647,94.93
2024-07-21 00:00:00,0.0,0.19820377661773578,0.19875776394028866,79.92
2024-07-21 01:00:00,0.0,0.18867601134203835,0.28260869550772644,69.91
2024-07-21 02:00:00,0.0,0.1802068866525295,0.13975155287970714,59.92
2024-07-21 03:00:00,0.0,0.1802068866525295,0.08385093168199959,54.92
2024-07-21 04:00:00,0.0095,0.18867601134203835,0.05590062108314578,69.92
2024-07-21 05:00:00,0.0425,0.28847053071219836,0.05590062096858401,74.93
2024-07-21 06:00:00,0.1789,0.6240938593790986,0.05279503110571002,89.95
2024-07-21 07:00:00,0.3697,0.23850226519733886,0.08385093179656132,89.91
2024-07-21 08:00:00,0.5635,0.1331306184396298,0.12732919253462957,79.91
2024-07-21 09:00:00,0.7332000000000001,0.1331306184396298,0.14906832294948838,54.91
2024-07-21 10:00:00,0.8605,0.1236028531639324,0.198757763963201,34.91
2024-07-21 11:00:00,0.9416,0.1236028531639324,0.33850931672834633,24.9
2024-07-21 12:00:00,0.9227000000000001,0.5951052638023994,0.5714285714285713,-34.9
2024-07-21 13:00:00,0.7267,0.21203625058746955,0.5124223600930415,-0.1
2024-07-21 14:00:00,0.7158,0.1236028531639324,0.3105590061294925,-44.91
2024-07-21 15:00:00,0.6078,0.1394824619567614,0.28260869553063883,-44.91
2024-07-21 16:00:00,0.37339999999999995,0.20300089712807753,0.39751552778892785,-34.91
2024-07-21 17:00:00,0.187,0.323193512092427,0.7422360248845677,8.73
2024-07-21 18:00:00,0.07529999999999999,0.7380217429378607,0.9999999999999997,79.1
2024-07-21 19:00:00,0.0209,0.864494004967859,0.9472049688942896,114.07
2024-07-21 20:00:00,0.0,0.38415348299455054,0.7732919253462956,124.91
2024-07-21 21:00:00,0.0,0.38692410522773835,0.5155279502308637,124.92
2024-07-21 22:00:00,0.0,0.33399207591830826,0.34161490668286965,114.92
2024-07-21 23:00:00,0.0,0.22466979138456525,0.2826086953931647,61.06
2024-07-22 00:00:00,0.0,0.19820377661773578,0.19875776394028866,104.91
2024-07-22 01:00:00,0.0,0.18867601134203835,0.28260869550772644,89.91
2024-07-22 02:00:00,0.0,0.1802068866525295,0.13975155287970714,84.91
2024-07-22 03:00:00,0.0,0.1802068866525295,0.08385093168199959,40.72
2024-07-22 04:00:00,0.0095,0.18867601134203835,0.05590062108314578,15.0
2024-07-22 05:00:00,0.046,0.28847053071219836,0.05590062096858401,94.91
2024-07-22 06:00:00,0.1595,0.6240938593790986,0.05279503110571002,119.91
2024-07-22 07:00:00,0.31660000000000005,0.23850226519733886,0.08385093179656132,117.09
2024-07-22 08:00:00,0.3097,0.1331306184396298,0.12732919253462957,129.91
2024-07-22 09:00:00,0.1987,0.1331306184396298,0.14906832294948838,77.08
2024-07-22 10:00:00,0.4619,0.1236028531639324,0.198757763963201,99.9
2024-07-22 11:00:00,0.6999,0.1236028531639324,0.33850931672834633,89.91
2024-07-22 12:00:00,0.5367000000000001,0.5951052638023994,0.5714285714285713,74.92
2024-07-22 13:00:00,0.2457,0.21203625058746955,0.5124223600930415,54.91
2024-07-22 14:00:00,0.2938,0.1236028531639324,0.3105590061294925,44.91
2024-07-22 15:00:00,0.2091,0.1394824619567614,0.28260869553063883,-23.61
2024-07-22 16:00:00,0.143,0.20300089712807753,0.39751552778892785,-19.91
2024-07-22 17:00:00,0.145,0.323193512092427,0.7422360248845677,18.78
2024-07-22 18:00:00,0.0885,0.7380217429378607,0.9999999999999997,104.9
2024-07-22 19:00:00,0.0248,0.864494004967859,0.9472049688942896,166.76
2024-07-22 20:00:00,0.0,0.38415348299455054,0.7732919253462956,154.96
2024-07-22 21:00:00,0.0,0.38692410522773835,0.5155279502308637,144.97
2024-07-22 22:00:00,0.0,0.33399207591830826,0.34161490668286965,139.92
2024-07-22 23:00:00,0.0,0.22466979138456525,0.2826086953931647,100.6
2024-07-23 00:00:00,0.0,0.19820377661773578,0.19875776394028866,104.48
2024-07-23 01:00:00,0.0,0.18867601134203835,0.28260869550772644,75.5
2024-07-23 02:00:00,0.0,0.1802068866525295,0.13975155287970714,75.16
2024-07-23 03:00:00,0.0,0.1802068866525295,0.08385093168199959,73.2
2024-07-23 04:00:00,0.0086,0.18867601134203835,0.05590062108314578,55.89
2024-07-23 05:00:00,0.0424,0.28847053071219836,0.05590062096858401,91.02
2024-07-23 06:00:00,0.1603,0.6240938593790986,0.05279503110571002,130.2
2024-07-23 07:00:00,0.2862,0.23850226519733886,0.08385093179656132,140.12
2024-07-23 08:00:00,0.5277000000000001,0.1331306184396298,0.12732919253462957,119.91
2024-07-23 09:00:00,0.6738999999999999,0.1331306184396298,0.14906832294948838,99.96
2024-07-23 10:00:00,0.7173999999999999,0.1236028531639324,0.198757763963201,69.7
2024-07-23 11:00:00,0.6425,0.1236028531639324,0.33850931672834633,53.51
2024-07-23 12:00:00,0.7573,0.5951052638023994,0.5714285714285713,58.1
2024-07-23 13:00:00,0.6792,0.21203625058746955,0.5124223600930415,24.8
2024-07-23 14:00:00,0.6677000000000001,0.1236028531639324,0.3105590061294925,21.3
2024-07-23 15:00:00,0.5241,0.1394824619567614,0.28260869553063883,39.91
2024-07-23 16:00:00,0.3448,0.20300089712807753,0.39751552778892785,29.97
2024-07-23 17:00:00,0.156,0.323193512092427,0.7422360248845677,55.22
2024-07-23 18:00:00,0.0727,0.7380217429378607,0.9999999999999997,80.07
2024-07-23 19:00:00,0.0247,0.864494004967859,0.9472049688942896,159.93
2024-07-23 20:00:00,0.0,0.38415348299455054,0.7732919253462956,177.54
2024-07-23 21:00:00,0.0,0.38692410522773835,0.5155279502308637,144.92
2024-07-23 22:00:00,0.0,0.33399207591830826,0.34161490668286965,111.2
2024-07-23 23:00:00,0.0,0.22466979138456525,0.2826086953931647,92.7
2024-07-24 00:00:00,0.0,0.19820377661773578,0.19875776394028866,78.8
2024-07-24 01:00:00,0.0,0.18867601134203835,0.28260869550772644,70.7
2024-07-24 02:00:00,0.0,0.1802068866525295,0.13975155287970714,64.0
2024-07-24 03:00:00,0.0,0.1802068866525295,0.08385093168199959,67.8
2024-07-24 04:00:00,0.0066,0.18867601134203835,0.05590062108314578,35.1
2024-07-24 05:00:00,0.047799999999999995,0.28847053071219836,0.05590062096858401,70.8
2024-07-24 06:00:00,0.15380000000000002,0.6240938593790986,0.05279503110571002,119.92
2024-07-24 07:00:00,0.2471,0.23850226519733886,0.08385093179656132,134.95
2024-07-24 08:00:00,0.45480000000000004,0.1331306184396298,0.12732919253462957,111.1
2024-07-24 09:00:00,0.4048,0.1331306184396298,0.14906832294948838,86.7
2024-07-24 10:00:00,0.30110000000000003,0.1236028531639324,0.198757763963201,68.18
2024-07-24 11:00:00,0.5699,0.1236028531639324,0.33850931672834633,25.49
2024-07-24 12:00:00,0.8091,0.5951052638023994,0.5714285714285713,25.9
2024-07-24 13:00:00,0.8182999999999999,0.21203625058746955,0.5124223600930415,-14.9
2024-07-24 14:00:00,0.6744,0.1236028531639324,0.3105590061294925,-19.9
2024-07-24 15:00:00,0.4623,0.1394824619567614,0.28260869553063883,-24.09
2024-07-24 16:00:00,0.3639,0.20300089712807753,0.39751552778892785,-12.1
2024-07-24 17:00:00,0.22690000000000002,0.323193512092427,0.7422360248845677,24.1
2024-07-24 18:00:00,0.08209999999999999,0.7380217429378607,0.9999999999999997,35.09
2024-07-24 19:00:00,0.0228,0.864494004967859,0.9472049688942896,111.35
2024-07-24 20:00:00,0.0,0.38415348299455054,0.7732919253462956,154.9
2024-07-24 21:00:00,0.0,0.38692410522773835,0.5155279502308637,139.92
2024-07-24 22:00:00,0.0,0.33399207591830826,0.34161490668286965,103.0
2024-07-24 23:00:00,0.0,0.22466979138456525,0.2826086953931647,102.3
2024-07-25 00:00:00,0.0,0.19820377661773578,0.19875776394028866,96.3
2024-07-25 01:00:00,0.0,0.18867601134203835,0.28260869550772644,88.12
2024-07-25 02:00:00,0.0,0.1802068866525295,0.13975155287970714,83.0
2024-07-25 03:00:00,0.0,0.1802068866525295,0.08385093168199959,89.39
2024-07-25 04:00:00,0.0076,0.18867601134203835,0.05590062108314578,61.7
2024-07-25 05:00:00,0.0415,0.28847053071219836,0.05590062096858401,106.04
2024-07-25 06:00:00,0.1759,0.6240938593790986,0.05279503110571002,159.94
2024-07-25 07:00:00,0.3697,0.23850226519733886,0.08385093179656132,169.92
2024-07-25 08:00:00,0.5579,0.1331306184396298,0.12732919253462957,124.9
2024-07-25 09:00:00,0.6697000000000001,0.1331306184396298,0.14906832294948838,101.6
2024-07-25 10:00:00,0.7533,0.1236028531639324,0.198757763963201,67.5
2024-07-25 11:00:00,0.8963,0.1236028531639324,0.33850931672834633,59.6
2024-07-25 12:00:00,0.9466,0.5951052638023994,0.5714285714285713,35.6
2024-07-25 13:00:00,0.7287,0.21203625058746955,0.5124223600930415,-1.11
2024-07-25 14:00:00,0.6691,0.1236028531639324,0.3105590061294925,-12.4
2024-07-25 15:00:00,0.5637000000000001,0.1394824619567614,0.28260869553063883,-2.6
2024-07-25 16:00:00,0.42260000000000003,0.20300089712807753,0.39751552778892785,22.17
2024-07-25 17:00:00,0.245,0.323193512092427,0.7422360248845677,43.3
2024-07-25 18:00:00,0.095,0.7380217429378607,0.9999999999999997,94.75
2024-07-25 19:00:00,0.0238,0.864494004967859,0.9472049688942896,284.92
2024-07-25 20:00:00,0.0,0.38415348299455054,0.7732919253462956,186.69
2024-07-25 21:00:00,0.0,0.38692410522773835,0.5155279502308637,159.96
2024-07-25 22:00:00,0.0,0.33399207591830826,0.34161490668286965,110.1
2024-07-25 23:00:00,0.0,0.22466979138456525,0.2826086953931647,95.02
2024-07-26 00:00:00,0.0,0.19820377661773578,0.19875776394028866,82.55
2024-07-26 01:00:00,0.0,0.18867601134203835,0.28260869550772644,70.1
2024-07-26 02:00:00,0.0,0.1802068866525295,0.13975155287970714,94.5
2024-07-26 03:00:00,0.0,0.1802068866525295,0.08385093168199959,84.91
2024-07-26 04:00:00,0.0076,0.18867601134203835,0.05590062108314578,50.03
2024-07-26 05:00:00,0.0414,0.28847053071219836,0.05590062096858401,74.6
2024-07-26 06:00:00,0.1694,0.6240938593790986,0.05279503110571002,124.92
2024-07-26 07:00:00,0.3038,0.23850226519733886,0.08385093179656132,134.92
2024-07-26 08:00:00,0.2719,0.1331306184396298,0.12732919253462957,103.1
2024-07-26 09:00:00,0.1874,0.1331306184396298,0.14906832294948838,97.6
2024-07-26 10:00:00,0.1618,0.1236028531639324,0.198757763963201,81.65
2024-07-26 11:00:00,0.18830000000000002,0.1236028531639324,0.33850931672834633,89.92
2024-07-26 12:00:00,0.4377,0.5951052638023994,0.5714285714285713,77.42
2024-07-26 13:00:00,0.17980000000000002,0.21203625058746955,0.5124223600930415,55.59
2024-07-26 14:00:00,0.3882,0.1236028531639324,0.3105590061294925,59.92
2024-07-26 15:00:00,0.3339,0.1394824619567614,0.28260869553063883,57.42
2024-07-26 16:00:00,0.2265,0.20300089712807753,0.39751552778892785,57.2
2024-07-26 17:00:00,0.15430000000000002,0.323193512092427,0.7422360248845677,74.18
2024-07-26 18:00:00,0.0765,0.7380217429378607,0.9999999999999997,91.86
2024-07-26 19:00:00,0.02,0.864494004967859,0.9472049688942896,186.84
2024-07-26 20:00:00,0.0,0.38415348299455054,0.7732919253462956,174.71
2024-07-26 21:00:00,0.0,0.38692410522773835,0.5155279502308637,144.96
2024-07-26 22:00:00,0.0,0.33399207591830826,0.34161490668286965,105.1
2024-07-26 23:00:00,0.0,0.22466979138456525,0.2826086953931647,112.0
2024-07-27 00:00:00,0.0,0.19820377661773578,0.19875776394028866,104.7
2024-07-27 01:00:00,0.0,0.18867601134203835,0.28260869550772644,93.0
2024-07-27 02:00:00,0.0,0.1802068866525295,0.13975155287970714,93.6
2024-07-27 03:00:00,0.0,0.1802068866525295,0.08385093168199959,88.2
2024-07-27 04:00:00,0.0038,0.18867601134203835,0.05590062108314578,75.07
2024-07-27 05:00:00,0.017,0.28847053071219836,0.05590062096858401,98.15
2024-07-27 06:00:00,0.0189,0.6240938593790986,0.05279503110571002,103.9
2024-07-27 07:00:00,0.033100000000000004,0.23850226519733886,0.08385093179656132,78.26
2024-07-27 08:00:00,0.242,0.1331306184396298,0.12732919253462957,74.6
